keyword,title,description,originallink,link,pubDate
농가식품산업사,ASF 살처분 피해농가 재입식 촉구,대한한돈협회는 지난 11일 청와대 인근에서 '한돈 산업사수ㆍ생존권쟁취 기자회견'을 열고 정부를 규탄하는... 이날 현장에선 농가의 요구사항이 받아들여지지 않을 경우 농식품부와 환경부 장관은 즉각 퇴진해야 한다고... ,http://www.aflnews.co.kr/news/articleView.html?idxno=170307,http://www.aflnews.co.kr/news/articleView.html?idxno=170307,"Tue, 12 May 2020 20:18:00 +0900"
거산실업,"全南농협, 거산실업 대표 상표법위반혐의 고소",(光州=聯合) 농협全南도지회는 19일 난장에서 농협상표등을 도용한 서울시 서초구 ㈜거산실업 대표 李순호씨(34)와 全南농어민후계자연합회 柳중수회장을 상표법 및 부당경쟁방지법 위반등의 혐의로 光州서부경찰서에... ,,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0003760439,"Fri, 19 Nov 1993 13:55:00 +0900"
미래제과,신동빈 미래 먹거리 왜 없나 질책···사장단 인사 폭 커지나,사업 포트폴리오 한계 롯데의 사업 포트폴리오는 크게 △식품(제과·칠성음료) △유통(백화점·마트)... 이 대표는 일성으로 “그룹 포트폴리오와 미래 전략을 개선하겠다”고 강조한 바 있다. 신 회장도 최근 몇 년간... ,https://www.sedaily.com/NewsView/1ZAFIRZKO8,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003826952,"Mon, 16 Nov 2020 17:39:00 +0900"
한영식품,"식품의약품안전관리원, 국제의약품규제조화위원회 지침 온라인 교육 실시","식품의약품안전평가원은 의약품 연구개발자와 제약업계 및 식약처 심사자 등을 대상으로 ‘2020년... 중계되고, 한영 동시통역이 제공된다. 또한 이번 교육은 ‘ICH 산·학·관 교육 클러스터 회의’를 통해 국내... ",http://www.mdtoday.co.kr/mdtoday/index.html?no=404464,http://www.mdtoday.co.kr/mdtoday/index.html?no=404464,"Mon, 02 Nov 2020 09:28:00 +0900"
금성제면,[이춘호 기자의 푸드로드] 경상도 국수열전 (2)추억의 국수공장…소표국수 권...,"별표, 닭표, 소표, 풍국면, 새농촌국수, 왕관, 별표, 금성제면, 달성제면, 남산제면, 금성제면, 대구종합식품, 종표, 제비표, 학표 , 봉표, 갈산…. 그들이 종횡무진할 때 대구국수는 물론 지역경제도 절정이었다. 하지만... ",//www.yeongnam.com/web/view.php?key=20200703010000448,//www.yeongnam.com/web/view.php?key=20200703010000448,"Fri, 03 Jul 2020 08:42:00 +0900"
화개농업협동조합,하동 화개·악양농협 합병 결의,이번 흡수합병 찬반투표가 가결됨에 따라 앞으로 채권자보호절차와 정관개정(안)의 대의원 총회 의결을 거친 후 농림축산식품부 합병인가 승인을 받을 경우 내년 3월 ‘화개악양농업협동조합’으로 새로운 출발을... ,http://www.viva100.com/main/view.php?key=20181204010000890,http://www.viva100.com/main/view.php?key=20181204010000890,"Tue, 04 Dec 2018 08:40:00 +0900"
한국데코로,휘게프 아메리카노 스위트 '판매중단 및 회수'..세균수 기준치 초과 검출,한국데코로가 제조하고 녹차원이 유통한 파우치형 커피 음료가 판매중지 및 회수조치됐다. 22일 식품의약품안전처에 따르면 휘게프 '아메리카노 스위트(사진)'에서 기준치를 초과한 세균이 검출돼 이같이 결정했다.... ,http://www.kpinews.co.kr/news/articleView.html?idxno=121983,http://www.kpinews.co.kr/news/articleView.html?idxno=121983,"Wed, 22 Jul 2020 09:56:00 +0900"
미농식품,"부산환경산업개발·미농식품, 설명절 맞이 떡국 떡 전달","부산환경산업개발(대표 진충오)과 미농식품(대표 장순호)은 지난 17일, 모라3동 행정복지센터에 설명절을 맞아 관내 어려운 이웃들을 위해 떡국 떡 250kg를 기탁했다.기탁 받은 떡국은 지역 내 저소득층 250가구에... ",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20200121.99099008371,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20200121.99099008371,"Tue, 21 Jan 2020 15:58:00 +0900"
농민식품,농산물 부가가치 높이는 가공식품 속속 개발,최근 우리 농산물을 활용한 다양한 가공식품이 속속 개발되면서 농가소득에 큰 보탬이 되고 있습니다. 농민은 부가가치를 높일 수 있어 좋고 소비자들은 맛과 영양이 풍부한 농식품을 먹을 수 있어 일석이조입니다. 보도에... ,http://www.yonhapnewstv.co.kr/MYH20201121007200038/?did=1825m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=422&aid=0000457910,"Sat, 21 Nov 2020 15:49:00 +0900"
대영식품,"웅진식품, 오독오독 달콤고소한 '웅진 스위토리 아몬드 초코볼' 2종 출시","껌, 초콜릿 등을 전문으로 생산하는 자회사 대영식품이 HACCP 인증된 생산 설비에서 좋은 품질의 원료를 바탕으로 정성스럽게 제조하여 안심하고 맛있게 먹을 수 있다. 먼저 ‘아몬드 초코볼’은 밀크 초콜릿이 고소한... ",http://moneys.mt.co.kr/news/mwView.php?no=2020111414448054760,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000621333,"Fri, 20 Nov 2020 08:44:00 +0900"
동산,계명대 동산병원 국책사업 지정 현판 제막,계명대학교 동산병원은 20일 스마트병원 시범사업기관 및 보건의료 데이터 중심병원 현판을 제막했다. 계명대 동산병원은 지난 7월과 9월 보건복지부로부터 스마트병원 시범사업기관 및 보건의료 데이터 중심병원으로... ,http://www.newsis.com/view/?id=NISX20201120_0001241646&cID=10810&pID=10800,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010197522,"Fri, 20 Nov 2020 15:12:00 +0900"
태남생활건강,태남생활건강 '밀크바오밥' 이마트 오프라인 매장 입점,투데이코리아=박영배 기자 | 태남생활건강의 퍼스널 케어 브랜드 '밀크바오밥'이 이마트 오프라인 매장에 입점했다. 밀크바오밥은 분만 72시간 내 추출한 초유와 바오밥 씨앗으로 피부 건강을 지키는 것을 가치로 삼는... ,http://www.todaykorea.co.kr/news/articleView.html?idxno=278904,http://www.todaykorea.co.kr/news/articleView.html?idxno=278904,"Wed, 04 Nov 2020 09:39:00 +0900"
한국양봉농업협동조합,"산림조합중앙회, 제7차 양봉산업발전위원회 개최","양봉산업발전협의회는 농림축산식품부 농림축산검역본부, 국립농업과학원, 국림산림과학원, 산림조합중앙회, 한국양봉협회, 한국한봉협회, 한국양봉농업협동조합이 밀원(蜜源)확대, 꿀벌 질병저항성 품종육성 및 병해충... ",http://view.asiae.co.kr/news/view.htm?idxno=2019012817212196257,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004403024,"Mon, 28 Jan 2019 17:21:00 +0900"
세준푸드 농업회사법인 주식회사,"따뜻한세상-세준푸드, 사랑 나눔 동참",㈜따뜻한세상과 세준푸드 농업회사법인 주식회사는 10일 어려운 이웃들을 위해 써달라며 이불 220채와 감주 350ml 156박스를 수성구청에 전달했다. 이번 기부는 침구류 제조업체인 ㈜따뜻한 세상과 전통음료 제조업체인... ,http://www.ksmnews.co.kr/default/index_view_page.php?idx=285717&part_idx=286,http://www.ksmnews.co.kr/default/index_view_page.php?idx=285717&part_idx=286,"Wed, 11 Mar 2020 22:03:00 +0900"
가족식품,반려동물의 건강을 생각하는 홍콩의 반려동물 식품시장 동향,건강을 최우선시 하는 영양 좋은 식품 선호 반려동물을 가족과 같이 여기는 사람들이 증가하면서 반려동물에 대한 식품 종류도 다양해지고있어 주인과 동물에게 더 많은 선택권을 제공하고 있다.... ,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=185683,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=185683,"Thu, 19 Nov 2020 17:02:00 +0900"
장생식품,"진주 '장생도라지', 경남농촌융복합산업 경진대회서 장려상",글로벌 시장에서 지속성장하고 있는 인증경영업체이다. 이번 수상으로 장생도라지는 농림축산식품부에서 추진하는 전국경진대회 참가 자격과 안테나숍·판매플랫폼 지원사업에 우선적으로 참여 및 지원을 받을 수 있다.,http://news1.kr/articles/?3722501,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004202294,"Wed, 18 Sep 2019 16:24:00 +0900"
태웅식품,40년 역사 2대 걸친 종합식품 전문 제조기업 태웅식품㈜,태웅식품 전경 장현주 (주)태웅식품 대표 ［동양일보 도복희 기자］태웅식품㈜(대표 장현주·사진 충북 음성군 대소면 대금로 196번길 21)은 1981년 창업 이래 자연주의 건강철학으로 이끌어온 기업이다. '자연에 가깝게 더... ,http://www.dynews.co.kr/news/articleView.html?idxno=602898,http://www.dynews.co.kr/news/articleView.html?idxno=602898,"Wed, 14 Oct 2020 21:40:00 +0900"
농산식품,농산물 부가가치 높이는 가공식품 속속 개발,이처럼 농산물을 가공식품으로 만들면 부가가치를 2배에서 최대 5배까지 높일 수 있습니다. 최인덕 / 농촌진흥청 수학후이용과 농업연구사 농산물 자체에 들어있는 다양한 영양성분을 충분히 활용할 수 있고요. 때론... ,http://www.yonhapnewstv.co.kr/MYH20201121007200038/?did=1825m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=422&aid=0000457910,"Sat, 21 Nov 2020 15:49:00 +0900"
정남농업협동조합,‘2017년 경기도 농ㆍ식품 수출탑’에 정남농업협동조합 등 4곳 선정,"수상의 영예를 안은 화성시 농가 및 업체는 정남농업협동조합, 화성시포도수출협의회, 우일팜㈜, ㈜고젠코리아 등 4개소다. 정남농업협동조합은 영국, 홍콩 등에 떡국 떡과 쌀을 수출해 30만 불 수출탑에 선정됐으며... ",http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1406293,http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1406293,"Tue, 24 Oct 2017 22:14:00 +0900"
농업회사법인제주자연식품,"제주자연식품, 장애인 표준사업장 운영약정 체결",장애인 에이블뉴스 - 이슬기 기자 = 한국장애인고용공단 제주지사가 4일 2019년도 장애인 표준사업장 무상지원금 지원대상자로 선정된 농업회사법인 ㈜제주자연식품과 운영약정을 체결했다. 장애인 표준사업장이란... ,http://www.ablenews.co.kr/News/NewsContent.aspx?CategoryCode=0039&amp;NewsCode=003920190404173203982016,http://www.ablenews.co.kr/News/NewsContent.aspx?CategoryCode=0039&amp;NewsCode=003920190404173203982016,"Thu, 04 Apr 2019 17:42:00 +0900"
한미양행,"한미양행 '로얄젤리 프리미엄', 1차 런칭방송 후 2차 방송",1차 런칭 방송을 진행한 한미양행의 신제품 '로얄젤리 프리미엄'이 11월 4일 오전 1시부터 2시까지 홈앤쇼핑을 통해 2차방송을 진행한다. 이번 방송에선 로얄젤리 프리미엄 제품을 4개(4개월분)와 8개(8개월분)로 두가지... ,http://www.futurekorea.co.kr/news/articleView.html?idxno=142431,http://www.futurekorea.co.kr/news/articleView.html?idxno=142431,"Mon, 02 Nov 2020 15:53:00 +0900"
화미,"화미(Huami), 신상 스마트 밴드 '어메이즈핏 밴드5' 런칭 이벤트 진행","미밴드 제조사 화미(Huami)의 신제품 스마트 밴드인 '어메이즈핏 밴드5'가 팅크웨어㈜를 통해 정식 출시를 진행하며, 그에 따른 런칭 이벤트를 실시한다고 밝혔다. 본 제품은 화미 자체 개발 센서를 탑재해 혈중 산소... ",http://www.futurekorea.co.kr/news/articleView.html?idxno=141213,http://www.futurekorea.co.kr/news/articleView.html?idxno=141213,"Mon, 12 Oct 2020 15:21:00 +0900"
동화씨앤에프,中 '허니버터칩' 인기에 짝퉁 논란,"확인 결과, '꿀버터칩'은 한국의 '(주) 동화씨앤에프'에서 자체 개발해 한국에서 생산하는 제품으로 주르 유한공사는 '(주)동화씨앤에프'로부터 꿀버터칩을 수입해 판매를 담당하는 회사이고 '꿀버터칩'은 '허니버터칩'의... ",http://news1.kr/articles/?2666141,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=421&aid=0002061305,"Wed, 18 May 2016 17:50:00 +0900"
오대산식품,'참바늘버섯' 식품원료 한시 인정…전남도 농가 소득원 기대,"앞으로 식용할 수 있는 식품 원료로 정식 등재되면 국내 인공재배를 통한 가공상품 개발이 가능해져 버섯 산업 활성화에 큰 도움이 될 것으로 기대된다. 7일 전남산림자원연구소에 따르면 참바늘버섯은 오대산, 지리산... ",http://yna.kr/AKR20201107025900054?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011998732,"Sat, 07 Nov 2020 10:32:00 +0900"
고산농업협동조합,"정명회 등 농업인단체, '농협중앙회장 직선제' 요구","완주 고산농협 조합장(농협조합장 정명회 대표, 좋은농협만들기국민운동본부 공동대표), 허수종 정읍... 전국친환경농업인연합회, 전국한우협회, 전국협동조합노동조합, 지역재단, 참여연대... ",http://www.youngnong.co.kr/news/articleView.html?idxno=32454,http://www.youngnong.co.kr/news/articleView.html?idxno=32454,"Wed, 18 Nov 2020 20:06:00 +0900"
고려자연식품,풀무원건강생활 아미오 “반려견 주식에 자연을 담았어요”,아미오 이성은 매니저는 “풀무원의 식품 제조 노하우를 바탕으로 반려견이 안심하고 섭취할 수 있는 주식 제품을 출시하게 됐다”며 “반려동물의 건강고민을 고려한 다양한 맞춤 주식을 지속적으로 선보일 예정”... ,https://sports.donga.com/article/all/20201120/104068431/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=382&aid=0000872552,"Fri, 20 Nov 2020 15:00:00 +0900"
지평농업협동조합,[전국 조합장 선거 후보자 명단] 경기 489명·인천 65명 출사표,"조합장 ▶지평농업협동조합 이상근(61), (전)지평농업협동조합 전무 이성원(58), (전)지평농협 이사 이종문(62), (현)지평농업협동조합 조합장 이종수 (60), (전)지평농협 곡수 지점장 ▶청운농업협동조합 김주호(59), (현)... ",http://www.joongboo.com/news/articleView.html?idxno=1330816,http://www.joongboo.com/news/articleView.html?idxno=1330816,"Wed, 27 Feb 2019 23:02:00 +0900"
태양식품,식품첨가제에 녹여 바르는 태양전지 만든다,연구진은 비대칭 구조를 갖는 고분자 물질을 합성하고 용해도를 높여 친환경 용매인 호두향 식품첨가제로 쓰이는 메틸아니졸에도 녹을 수 있도록 했다. 이때 합성된 무정형 고분자 물질은 태양전지에 적합한 일정한... ,http://www.fnnews.com/news/202009292227326480,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004504337,"Sat, 03 Oct 2020 11:13:00 +0900"
농업회사법인두레촌,"㈜두레촌 강봉석 대표, 코로나19 극복을 위한 성금 기탁","식품명인 제32호 강 대표는 농업회사법인 ㈜두레촌의 설립자이며, 지난 2018년에는 지역경제 활성화에 기여한 유공으로 농촌활력증진(농촌융복합산업) 분야에서 대통령상을 받은 바 있다. 두레촌은 작년 매출 67억 원... ",http://www.joongdo.co.kr/main/view.php?key=20200424010008762,http://www.joongdo.co.kr/main/view.php?key=20200424010008762,"Fri, 24 Apr 2020 11:42:00 +0900"
다압농업협동조합,[동시조합장선거]전남 당선자 명단,(56) ▲다압농업협동조합 김충현(60) ▲동광양농업협동조합 이명기(58) ▲진상농업협동조합 최진호(66) ▲광양원예농업협동조합 장진호(59) 담양 ▲고서농업협동조합 최창기(60) ▲금성농업협동조합 양용호(76)... ,http://www.newsis.com/view/?id=NISX20190313_0000586766&cID=10899&pID=10800,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009112334,"Wed, 13 Mar 2019 23:05:00 +0900"
농업회사법인백제,"㈜백제, 수해 피해민 위한 식품 2만 3080인분 기부","대한적십자사 충남지사는 도내 기업 농업회사법인 ㈜백제로부터 식품 2만 3080인분을 기부받았다고 26일 밝혔다.기부 물품은 즉석쌀국수 9000인분과 도토리 막국수 8000인분, 비빔칼국수 3080인분, 냉면 3000인분 등 모두... ",http://www.cctoday.co.kr/news/articleView.html?idxno=2090203,http://www.cctoday.co.kr/news/articleView.html?idxno=2090203,"Wed, 26 Aug 2020 20:25:00 +0900"
주식회사포천탁주제조장,"[경제잠망경] 막걸리 열풍, 막걸리 大戰","장수막걸리의 조용한 행보 서울탁주제조협회의 자회사인 서울장수주식회사 준공식이 2010년 5월26일에 충북... 국순당, 포천막걸리를 포함한 중형 막걸리 제조장, 막걸리업에 새로 뛰어든 소주 회사. 여기에 유통에서... ",http://www.donga.com/docs/magazine/viewer.php?mgz_part=shin&n=201007020500015,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=262&aid=0000003765,"Fri, 23 Jul 2010 17:30:00 +0900"
농업회사법인주식회사제주특산,"K-방역, 가장 안전한 제주 되도록 향토기업이 선도하겠습니다",ⓒ제주의소리농업회사법인 주식회사 제우스 사옥 전경. 제주 첨단과학기술단지 초입에 위치해 있다. 창업... 통해 제주를 알리고 싶다고도 했다. 감탄상자는 제주를 다녀간 관광객에게 한 달에 한 번씩 방문지의 특산품... ,http://www.jejusori.net/news/articleView.html?idxno=316485,http://www.jejusori.net/news/articleView.html?idxno=316485,"Mon, 15 Jun 2020 10:58:00 +0900"
